sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F1S4_161216_001_A01,94,#53D385,L5 PT ALM Slco2a1,2,#27AAE1,Glutamatergic,0,2.70300416333643,2.64423102937878,0,0.194592551696078,0,0
F1S4_180124_314_A01,73,#33A9CE,L5 IT ALM Npw,2,#27AAE1,Glutamatergic,0,2.65533280851087,3.25429352260062,0,0,0,0
F1S4_180124_315_A01,2,#FF88AD,Lamp5 Fam19a1 Pax6,1,#EF4136,GABAergic,2.98171374532491,0,0,0.968798128581093,0,0,0
F1S4_180124_315_B01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.47956012588913,0,0,2.38821040005918,0,0,1.68599537046253
F1S4_180124_315_C01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.8817149832941,0,0,3.0050494830176,0,0,0.95222202122168
F1S4_180124_315_D01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.55460725785768,0,0,1.63003963036942,0,0,0.650484351967979
F1S4_180124_315_E01,1,#DDACC9,Lamp5 Krt73,1,#EF4136,GABAergic,3.02679543176833,0,2.72540017584065,0,0,0,0
F1S4_180124_315_F01,11,#6C00BF,Sncg Vip Itih5,1,#EF4136,GABAergic,2.84435713373229,0,0,2.86835192025379,2.95695644643736,0,0.616356075009119
F1S4_180124_315_G01,74,#0094C2,L5 IT ALM Pld5,2,#27AAE1,Glutamatergic,0,2.58585505909877,3.42877122799565,0,0,0,0
F1S4_180124_315_H01,66,#ADE6A6,L2/3 IT ALM Macc1 Lrg1,2,#27AAE1,Glutamatergic,0,2.39695817271539,3.22051033931375,0,0,0,0
F1S4_180124_316_A01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.58396484879383,0,0,2.75655483722906,0,0,1.74165101980689
F1S4_180124_316_B01,6,#FFA388,Lamp5 Lsp1,1,#EF4136,GABAergic,3.12327222539335,0,3.42294930375665,0,0,0,0
F1S4_180124_316_C01,64,#82AD7D,L2/3 IT ALM Sla,2,#27AAE1,Glutamatergic,0,2.51833569498771,3.21775820627429,0,0,0.827329469737952,0
F1S4_180124_316_D01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.85701091055278,0,0,2.46970178027518,0,0,0
F1S4_180124_316_E01,11,#6C00BF,Sncg Vip Itih5,1,#EF4136,GABAergic,2.79923931175824,0,0,1.95462925006179,3.785134680058,0,0.561810228444345
F1S4_180124_316_F01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.55282158315755,0,0,2.28213714056274,0,0,0.487209178592249
F1S4_180124_316_G01,37,#D6C300,Sst Myh8 Etv1 ,1,#EF4136,GABAergic,2.84673775141892,0,0,0,0,4.17237046877043,0
F1S4_180124_316_H01,17,#9189FF,Vip Arhgap36 Hmcn1,1,#EF4136,GABAergic,3.0177742391409,0,0,0,4.590642123812,0,0
F1S4_180124_317_A01,32,#804811,Sst Tac1 Htr1d,1,#EF4136,GABAergic,2.74660452588736,0,0,0,0,1.13892917817037,3.01467821440098
F1S4_180124_317_B01,6,#FFA388,Lamp5 Lsp1,1,#EF4136,GABAergic,3.25471606482397,0,3.29393038968149,0,0,0,1.40257005814186
F1S4_180124_317_C01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.88737589672532,0,0,2.45220414658126,0,0,0.959579092774342
F1S4_180124_317_D01,6,#FFA388,Lamp5 Lsp1,1,#EF4136,GABAergic,3.4369991817267,0,3.39075055599946,0,0,0,0
F1S4_180124_317_E01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.60482432821765,0,0,2.231205356997,0,0,1.50216968702492
F1S4_180124_317_F01,42,#BF9F00,Sst Hpse Sema3c,1,#EF4136,GABAergic,2.46396424548845,0,0,0,0,4.12249623410799,1.56968920165376
F1S4_180124_317_G01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,3.0165450083459,0,0,2.77310197794461,0,0,1.63568670224403
F1S4_180124_317_H01,8,#9440F3,Sncg Slc17a8,1,#EF4136,GABAergic,2.30789449928522,0,0,1.94938121395735,0,0,1.32023675829345
F2S4_160201_001_A01,35,#CC6D3D,Sst Calb2 Pdlim5,1,#EF4136,GABAergic,3.18435092182581,0,0,0,0.422645173058914,4.35431921692998,0
F2S4_160201_001_B01,57,#D6221D,Pvalb Reln Tac1,1,#EF4136,GABAergic,2.87283384196202,0,0,0,0,0,3.34819780544024
F2S4_160201_001_C01,35,#CC6D3D,Sst Calb2 Pdlim5,1,#EF4136,GABAergic,2.91021472650834,0,0,0,0,3.83665478894582,1.36416516461866
F2S4_160201_001_D01,43,#806B19,Sst Hpse Cbln4,1,#EF4136,GABAergic,3.02510443047086,0,0,0,0.394165052866705,4.10342935210225,1.27277805262703
F2S4_160201_001_E01,41,#D9C566,Sst Tac2 Myh4,1,#EF4136,GABAergic,3.06960845973927,0,0,0,0.403141526708579,3.85284672140633,0
F2S4_160201_001_F01,40,#FFB307,Sst Chrna2 Ptgdr,1,#EF4136,GABAergic,2.80943849091025,0,0,0,0.261108964972784,3.89889162677365,0
F2S4_160201_001_G01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.06048562567539,0,0,0,0.456796421714012,3.90086036201676,0
F2S4_160201_001_H01,30,#FFFF00,Sst Chodl,1,#EF4136,GABAergic,3.02633190120084,0,0,0.855613258709761,0.248327481810344,4.25037652608746,0
F2S4_160201_002_A01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,2.81312490719265,0,0,0,0,3.94056374338582,0
F2S4_160201_002_B01,34,#BF480D,Sst Calb2 Necab1,1,#EF4136,GABAergic,2.81633789016597,0,0,0,0.202378948361473,3.48103621219823,1.6166299524188
F2S4_160201_002_C01,37,#D6C300,Sst Myh8 Etv1 ,1,#EF4136,GABAergic,3.02415624668913,0,0,0,0,4.10621889627734,0
F2S4_160201_002_D01,35,#CC6D3D,Sst Calb2 Pdlim5,1,#EF4136,GABAergic,2.87573047211276,0,0,0,0.199073788668128,3.99645771997741,0
F2S4_160201_002_E01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.05901600661647,0,0,0,0.530771573800421,4.25677698417694,0
F2S4_160201_002_F01,35,#CC6D3D,Sst Calb2 Pdlim5,1,#EF4136,GABAergic,3.18502735121779,0,0,0,0.196107392245624,4.18045820536165,0
F2S4_160201_002_G01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.18868237350462,0,0,0,0.379690705825782,3.99451438112407,0
F2S4_160201_002_H01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.02888078119879,0,0,0,0.208956374343703,4.23399966788258,0
F2S4_160201_003_A01,44,#B95541,Sst Crhr2 Efemp1,1,#EF4136,GABAergic,3.19419099869257,0,0,0,0.488042462267624,3.93787838743241,1.1060634470449
F2S4_160201_003_B01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.08407180617302,0,0,0,0.454610062088933,3.9368275618854,0
F2S4_160201_003_C01,41,#D9C566,Sst Tac2 Myh4,1,#EF4136,GABAergic,2.9664711665396,0,0,0,0,3.86435694105634,0
F2S4_160201_003_D01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.08182272825347,0,0,0,0.295957916192278,3.86236143177067,0
F2S4_160201_003_E01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,2.92605683416627,0,0,0,0.296574671801753,4.00619414919136,0
F2S4_160201_003_F01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,2.76361274283313,0,0,0,0.317785935356539,3.93161052853685,0
F2S4_160201_003_G01,39,#FF9F2C,Sst Chrna2 Glra3,1,#EF4136,GABAergic,3.19537196378554,0,0,0,0,4.05229766686431,0
F2S4_160201_003_H01,44,#B95541,Sst Crhr2 Efemp1,1,#EF4136,GABAergic,2.8969237225311,0,0,0,0,4.0072164882902,0
